NM_001362372	Kat5
NM_001362379	Sfxn3
NM_001362380	Sfxn3
NM_001362381	Sfxn3
NM_001362384	Sfxn4
NM_001362385	Sfxn4
NM_001362397	Kazald1
NM_001362398	Kazald1
NM_001362399	Fermt3
NM_001362410	Hps1
NM_001362423	Sgms1
NM_001362424	Tbc1d12
NM_001362425	Plaat3
NM_001362427	Gm550
NM_001362430	Cyb561a3
NM_001362431	Cyb561a3
NM_001362434	Kif20b
NM_001362445	Ablim1
NM_001362446	Ablim1
NM_001362450	Cpsf7
NM_001362451	Pacs1
NM_001362454	Sf3b2
NM_001362458	Itprip
NM_001362459	Itprip
NM_001362487	Trpm3
NM_001362488	Trpm3
NM_001362489	Trpm3
NM_001362490	Trpm3
NM_001362491	Trpm3
NM_001362496	Trpm3
NM_001362497	Trpm3
NM_001362498	Trpm3
NM_001362499	Trpm3
NM_001362500	Trpm3
NM_001362501	Trpm3
NM_001362502	Trpm3
NM_001362503	Trpm3
NM_001362504	Trpm3
NM_001362505	Trpm3
NM_001362506	Trpm3
NM_001362507	Trpm3
NM_001362508	Trpm3
NM_001362511	Trpm3
NM_001362512	Trpm3
NM_001362513	Trpm3
NM_001362874	4921524L21Rik
NM_001364956	Htr4
NM_001364957	Htr4
NM_001364958	Htr4
NM_001364959	Htr4
NM_001364967	Smad4
NM_001364968	Smad4
NM_001364973	Rnf125
NM_001364992	Chst9
NM_001364993	Tshz1
NM_001364994	Tshz1
NM_001364996	Ppargc1b
NM_001364997	Mib1
NM_001365015	Lims2
NM_001365019	Malt1
NM_001365054	Blnk
NM_001365058	Mbl2
NM_001365062	Rasgrp2
NM_001365063	Rasgrp2
NM_001365067	Rela
NM_001365070	Actr1a
NM_001365071	Ak3
NM_001365072	Tctn3
NM_001365078	A1cf
NM_001367923	Gm51263
NM_001367965	Fbxo15
NM_001368147	Psmg2
NM_001368184	Ppp1r32
NM_001368637	Cystm1
NM_001368651	Ecscr
NM_001368652	Ecscr
NM_001368655	Katnal2
NM_001368656	Katnal2
NM_001368657	Katnal2
NM_001368688	1700019N19Rik
NM_001368689	1700019N19Rik
NM_001368690	Pcgf5
NM_001368691	Pcgf5
NM_001368692	Pcgf5
NM_001368693	Pcgf5
NM_001368696	Plaat5
NM_001368712	Rce1
NM_001368713	Rce1
NM_001368714	Rce1
NM_001368715	Rce1
NM_001368743	Pax2
NM_001368744	Pax2
NM_001368745	Pax2
NM_001368746	Pax2
NM_001368747	Pax2
NM_001368748	Pax2
NM_001368749	Pax2
NM_001368750	Pax2
NM_001368751	Pax2
