motifName	meanDeviationZgrp1_kidney	meanDeviationZgrp2_liver	zDiff	pvalue	padj	negLog10padj	cRank	cRank_rerank
MA0789.1_POU3F4	0.383286587619413	-0.454382933042121	0.837669520661533	0.00398993787900176	0.00517976240345745	2.28569016095629	521	507
MA0790.1_POU4F1	4.4924043121782	-4.21222951282457	8.70463382500277	2.27113128882892e-06	1.58431929666499e-05	4.80015728814715	83	42
MA0791.1_POU4F3	4.55656561272018	-4.1053754936363	8.66194110635649	1.37176216910065e-06	1.12790363658895e-05	4.94772800308794	70	33
MA0792.1_POU5F1B	1.31554627106356	-1.45545086505525	2.77099713611882	7.47421441100705e-05	0.000172042479090454	3.76436430799456	339	294
MA0793.1_POU6F2	2.41935858246143	-2.15071227266517	4.5700708551266	4.03420735459535e-05	0.0001092565271909	3.96155260801143	213	158
MA0794.1_PROX1	0.550599893490995	-0.456775048257108	1.0073749417481	0.0074012175098778	0.00919593334381812	2.03640418534935	507	493
MA0600.2_RFX2	2.4294855738456	-2.25436777291712	4.68385334676272	0.000832279941651383	0.00130948392993519	2.8828998268938	368	327
MA0795.1_SMAD3	1.51681153845986	-1.42255507642363	2.9393666148835	2.81857449855762e-05	8.1597731733243e-05	4.0883219136656	323	279
MA0796.1_TGIF1	1.72726248682386	-1.25346605023154	2.98072853705541	0.00885869953331524	0.0107756030037595	1.96755841732707	476	457
MA0797.1_TGIF2	1.01564505098437	-0.586104724073725	1.6017497750581	0.0237381450574334	0.0275438596958997	1.55997520252571	499	483
MA0798.1_RFX3	2.9399429106836	-2.75520845150134	5.69515136218494	0.000494658965217967	0.000839904811909686	3.07576993061054	341	296
MA0799.1_RFX4	1.94520309784411	-1.74856656141377	3.69376965925789	4.89503742475565e-05	0.000123668609044598	3.90774052388581	273	225
MA0510.2_RFX5	2.05806673405868	-2.0205769443042	4.07864367836287	0.000807949354723934	0.00128165116817852	2.89223016229762	365	324
MA0511.2_RUNX2	0.905590634775096	-0.898232193815049	1.80382282859014	0.000162941661792797	0.000327580632562603	3.48468178279633	433	405
MA0800.1_EOMES	1.45098202569868	-1.42116229501966	2.87214432071834	1.36225990478357e-05	4.92967803043554e-05	4.30718144465206	331	286
MA0801.1_MGA	0.907700162508263	-0.973667039704778	1.88136720221304	0.00125607765298201	0.00186002291835443	2.7304817045705	422	392
MA0802.1_TBR1	2.04915731565886	-2.10180820819694	4.1509655238558	1.57253694664025e-05	5.23275225347531e-05	4.28126982660098	239	182
MA0803.1_TBX15	0.907700162508263	-0.973667039704778	1.88136720221304	0.00125607765298201	0.00186002291835443	2.7304817045705	422	392
MA0804.1_TBX19	0.690902271062895	-0.736546966944159	1.42744923800705	0.0421775026130531	0.0474189786659373	1.32404780431237	515	500
MA0805.1_TBX1	1.447253951125	-1.47555210817877	2.92280605930378	8.92472068040364e-06	3.61262166677446e-05	4.44217751771111	325	282
MA0806.1_TBX4	0.900754824594881	-0.978502107494621	1.8792569320895	0.00239006993456692	0.00329488212408154	2.48216011787624	424	395
MA0807.1_TBX5	0.900754824594881	-0.978502107494621	1.8792569320895	0.00239006993456692	0.00329488212408154	2.48216011787624	424	395
MA0808.1_TEAD3	3.34263388022205	-3.04771372911572	6.39034760933777	1.04094635302177e-05	4.07235093513247e-05	4.39015480370067	148	92
MA0809.1_TEAD4	3.38614100914421	-3.10389216930561	6.49003317844982	4.15262549099665e-06	2.28987634217815e-05	4.64018796978225	105	56
MA0810.1_TFAP2A(var.2)	1.2381370434618	-1.11944423730719	2.35758128076899	0.000621656384424346	0.0010117652456678	2.99492024277083	370	329
MA0003.3_TFAP2A	0.43008084968712	-0.328979611078929	0.759060460766049	0.0350765842643399	0.0395893611872374	1.40242150595419	531	521
MA0811.1_TFAP2B	1.08467321952548	-0.966374426651618	2.0510476461771	0.00411501294536813	0.0053301845533963	2.27325775361244	447	423
MA0812.1_TFAP2B(var.2)	0.286397981723409	-0.213844367236126	0.500242348959535	0.012401408633623	0.0148662848837841	1.82779754903408	544	537
MA0813.1_TFAP2B(var.3)	-0.516281260658684	0.542113657730752	-1.05839491838944	0.000846485305802439	0.00132463511367463	2.87790373677742	504	489
MA0524.2_TFAP2C	1.02072170034431	-0.925309128528165	1.94603082887248	0.00144141430291671	0.00209167639445809	2.6795055047819	419	389
MA0814.1_TFAP2C(var.2)	0.954425832416203	-0.728202746626527	1.68262857904273	0.00289996403093076	0.0038777810020991	2.41141672137013	451	427
MA0815.1_TFAP2C(var.3)	-0.32566856262523	0.384266246738892	-0.709934809364123	0.00538276769738194	0.00684971977315196	2.16432719543651	533	525
MA0816.1_Ascl2	2.41091915137507	-2.32884576646005	4.73976491783512	0.000192464481340348	0.000372698778247697	3.4286420309144	299	252
MA0461.2_Atoh1	1.15429442923509	-1.16499710855227	2.31929153778737	0.00825945904584334	0.0101104160413177	1.99523097292226	473	453
MA0464.2_BHLHE40	1.89786191024228	-1.97413738763307	3.87199929787535	6.70414446403668e-06	3.08071400371209e-05	4.5113486172867	264	211
MA0817.1_BHLHE23	0.639887498436715	-0.671032831358004	1.31092032979472	0.0155976825397408	0.0185442673316426	1.73179032060501	487	468
MA0818.1_BHLHE22	0.388426281908645	-0.428704969687914	0.817131251596559	0.0313920918325457	0.0358501403768125	1.44550913944512	524	512
MA0819.1_CLOCK	0.85283569318645	-0.889387802235234	1.74222349542168	0.00287403340274235	0.0038609404644729	2.41330689512556	441	415
MA0820.1_FIGLA	0.713978650899676	-0.556181948847553	1.27016059974723	0.00284011016736201	0.00382424136488977	2.41745470527362	490	471
MA0821.1_HES5	0.529252206272488	-0.443212700523639	0.972464906796128	0.00663399327692039	0.00833206530875684	2.07924733460505	512	498
MA0822.1_HES7	-0.631267119356422	0.648066701807278	-1.2793338211637	0.0108534531816986	0.013119309795832	1.882089012502	487	468
MA0823.1_HEY1	1.760396421742	-1.7759614106552	3.5363578323972	0.000125851556578173	0.000261018943962386	3.58332797174307	280	231
MA0824.1_ID4	0.877582675334942	-0.820049551634952	1.69763222696989	0.0116729158514363	0.014080454745795	1.85138331888707	480	461
MA0058.3_MAX	2.5874196789228	-2.64482040194841	5.23224008087121	0.00012622677773656	0.000261018943962386	3.58332797174307	280	231
MA0825.1_MNT	1.95317683855005	-2.07797980359933	4.03115664214938	0.000138318017280011	0.000282989865742496	3.54822911688178	283	236
MA0826.1_OLIG1	0.685096699121996	-0.7078533706258	1.3929500697478	0.0296477281459569	0.0339921477158595	1.46862139464968	505	490
MA0827.1_OLIG3	1.67523139600611	-1.6743727457258	3.34960414173191	0.000626755800758963	0.0010117652456678	2.99492024277083	354	315
MA0828.1_SREBF2(var.2)	2.75228564236143	-2.74973568533745	5.50202132769888	5.50187116201406e-06	2.72272085709927e-05	4.56499688177267	152	99
MA0829.1_Srebf1(var.2)	2.80924804792854	-2.86792248564346	5.677170533572	6.96218454855416e-06	3.12488748342082e-05	4.50516561550685	143	86
MA0522.2_TCF3	0.880181238378713	-0.777488580343403	1.65766981872212	0.00109293154805922	0.00166091172264118	2.77965344966097	454	430
MA0830.1_TCF4	1.46270554534009	-1.35771561460482	2.82042115994491	9.82693258416067e-05	0.000219683164719268	3.65820322368792	335	290
MA0832.1_Tcf21	2.73721458630044	-2.57924852475025	5.31646311105069	0.000178665087194628	0.000351907594946044	3.45357136002595	293	247
MA0833.1_ATF4	0.784908451024467	-0.731652814469286	1.51656126549375	0.00773902934191793	0.00955415349460658	2.01980778573163	469	447
